agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
Greedy,97,10096,3036,256,250,0.8,0.6663944226695957
Greedy,98,10097,3228,256,270,0.0,0.650954326373429
Greedy,99,10098,1152,128,122,0.819672131147541,0.6858623156127314
Greedy,100,10099,4560,512,311,1.607717041800643,0.6603604360780259
DQN,1,10000,1656,128,170,1.7647058823529411,0.6988845075994693
DQN,2,10001,1244,128,132,0.0,0.701680097607563
DQN,3,10002,1540,128,164,0.0,0.6588294460063072
DQN,4,10003,2104,256,176,8.522727272727273,0.6715115638145845
DQN,5,10004,2528,256,217,3.686635944700461,0.6869284361981846
DQN,6,10005,1384,128,150,11.333333333333334,0.706001553601977
DQN,7,10006,1124,128,120,0.0,0.6627436711974865
DQN,8,10007,1392,128,148,0.0,0.6782244316270507
DQN,9,10008,792,64,103,0.0,0.6021842553158924
DQN,10,10009,1600,128,168,3.5714285714285716,0.6584899293441899
DQN,11,10010,888,64,114,0.8771929824561403,0.7205031152700667
DQN,12,10011,1464,128,151,5.298013245033113,0.6693884908758045
DQN,13,10012,640,64,89,0.0,0.6826176037646952
DQN,14,10013,884,64,107,3.7383177570093458,0.6517293175384343
DQN,15,10014,1408,128,148,1.3513513513513513,0.6595683728244274
DQN,16,10015,404,32,67,1.492537313432836,0.611100912512369
DQN,17,10016,956,64,112,0.0,0.6607896141518136
DQN,18,10017,2940,256,247,2.42914979757085,0.6741112240294966
DQN,19,10018,1284,128,134,0.746268656716418,0.6587774272873712
DQN,20,10019,640,64,89,0.0,0.6708264236711954
DQN,21,10020,812,64,105,0.0,0.6504558363734416
DQN,22,10021,828,64,108,1.8518518518518519,0.6745104092078021
DQN,23,10022,2052,128,200,26.5,0.7264544754996937
DQN,24,10023,1704,128,173,21.387283236994218,0.6910834651087472
DQN,25,10024,1468,128,154,0.0,0.6603968900928155
DQN,26,10025,696,64,84,0.0,0.6486292136997499
DQN,27,10026,1432,128,147,0.0,0.6876856718543214
DQN,28,10027,776,64,99,4.040404040404041,0.7089982940267797
DQN,29,10028,740,64,92,2.1739130434782608,0.6739242549660425
DQN,30,10029,1120,128,118,0.0,0.6734132056507911
DQN,31,10030,976,128,106,2.830188679245283,0.6765131532999378
DQN,32,10031,452,32,69,1.4492753623188406,0.719583313019209
DQN,33,10032,1184,128,129,2.3255813953488373,0.6840327023779099
DQN,34,10033,1108,128,122,0.0,0.660666482198871
DQN,35,10034,2244,256,194,0.0,0.7097539654845203
DQN,36,10035,1480,128,148,0.6756756756756757,0.6686964745712101
DQN,37,10036,1384,128,147,1.3605442176870748,0.6282249968535297
DQN,38,10037,580,64,80,21.25,0.6556485142208498
DQN,39,10038,1296,128,134,1.492537313432836,0.6673818462629918
DQN,40,10039,1024,64,118,0.847457627118644,0.6561285832554387
DQN,41,10040,684,64,89,6.741573033707865,0.6627695566741617
DQN,42,10041,1300,128,137,3.6496350364963503,0.7091741170663103
DQN,43,10042,800,64,102,0.0,0.6651043193835142
DQN,44,10043,1520,128,157,0.0,0.6947488766607218
DQN,45,10044,1056,128,115,4.3478260869565215,0.67337602675835
DQN,46,10045,1100,128,114,2.6315789473684212,0.6442904759562036
DQN,47,10046,1484,128,155,0.0,0.6567879066009117
DQN,48,10047,1072,64,126,0.0,0.6596083076554532
DQN,49,10048,1420,128,146,7.534246575342466,0.6981078508884586
